region,season,exposure,claims,actual,expected,OE,OE_filtered
0,shoulder,147.0,0,0.0,58380.645620727984,0.0,
0,summer,98.0,3,300688.0,155711.35741776752,1.9310601679058375,
0,winter,49.0,0,0.0,17531.62890909344,0.0,
1,shoulder,144.0,2,287331.0,144623.37491325507,1.9867535256478477,
1,summer,96.0,1,109263.0,362635.4191983508,0.30130261473503883,
1,winter,48.0,0,0.0,41467.00595183679,0.0,
2,shoulder,138.0,1,77528.0,155202.66000646804,0.49952752096368086,
2,summer,92.0,1,82725.0,335736.1067726772,0.24639887796164883,
2,winter,46.0,0,0.0,41827.31638931445,0.0,
3,shoulder,138.0,0,0.0,68203.19422317327,0.0,
3,summer,92.0,1,84323.0,123539.8861018973,0.682556886368256,
3,winter,46.0,0,0.0,17692.41122823835,0.0,
4,shoulder,153.0,1,67481.0,128443.12179676743,0.5253765172943524,
4,summer,102.0,1,103561.0,284894.9391542616,0.36350593066844544,
4,winter,51.0,1,78552.0,30730.435276455042,2.5561629470372242,
5,shoulder,192.0,2,165134.0,76886.07892257895,2.1477750239582774,
5,summer,128.0,0,0.0,235497.11251645762,0.0,
5,winter,64.0,0,0.0,23061.76492976488,0.0,
6,shoulder,159.0,1,300722.0,139137.05525532976,2.1613365285627646,
6,summer,106.0,3,274279.0,173112.11299072416,1.584400971494679,
6,winter,53.0,1,72411.0,31782.487380937466,2.278330173850104,
7,shoulder,138.0,1,75352.0,111462.78701100653,0.6760283142082144,
7,summer,92.0,6,703482.0,244894.20627221605,2.8725955207696234,2.8725955207696234
7,winter,46.0,1,65009.0,31011.604800181703,2.0962797771632604,
8,shoulder,150.0,3,234479.0,71177.21764354291,3.2942984814927163,
8,summer,100.0,3,219049.0,73615.15492095238,2.9755965362731875,
8,winter,50.0,0,0.0,20707.693521309015,0.0,
9,shoulder,156.0,3,261808.0,106669.0117868597,2.4543960388714456,
9,summer,104.0,0,0.0,152273.39167476224,0.0,
9,winter,52.0,1,167154.0,29011.022636409692,5.7617410490803165,
10,shoulder,144.0,0,0.0,64330.29192427098,0.0,
10,summer,96.0,2,288176.0,158503.20996020504,1.8181082898721832,
10,winter,48.0,0,0.0,16063.792607662815,0.0,
11,shoulder,147.0,1,136358.0,58699.50154564047,2.322983950621419,
11,summer,98.0,0,0.0,70447.86880899828,0.0,
11,winter,49.0,1,73206.0,15458.489868972414,4.735650158618391,
12,shoulder,165.0,0,0.0,179033.84784883333,0.0,
12,summer,110.0,2,192682.0,338532.06169432955,0.5691691328603853,
12,winter,55.0,0,0.0,43472.490055083836,0.0,
13,shoulder,177.0,0,0.0,93112.67068950263,0.0,
13,summer,118.0,5,709682.0,309741.9082317664,2.2912043257284247,2.2912043257284247
13,winter,59.0,0,0.0,27231.621270642718,0.0,
14,shoulder,156.0,3,240650.0,106413.179791413,2.261467991762983,
