Layer,Metric,Actual,GLM,FFNN,Notes,FFNN/GLM
Incidence,Observed rate,0.010666666666666666,0.012385181046172885,0.011037512997584903,Calibration-in-the-large,0.8911870530141001
Incidence,AUC (ROC),,0.6065114841878182,0.6318883264661014,Ranking quality,1.0418406624439527
Incidence,PR-AUC,,0.01657954379758609,0.019374154175748896,Rare-event ranking,1.1685577367074291
Incidence,Brier (↓),,0.010627457798710362,0.010533347432062062,Probability accuracy,0.9911446021776045
Incidence,Lift@10,,0.21354166666666666,0.2421875,Claims captured in top 10%,1.1341463414634148
Claim cost,Mean cost (CHF),106135.33072916667,106932.36396796588,101343.6418464139,Level check (claims),0.9477359153564938
Claim cost,MAE (CHF) (↓),,47339.38274148474,35926.957039154346,Overall error,0.7589232254114419
Claim cost,RMSE log1p (↓),,0.5587038579219081,0.4376178995435577,Multiplicative error,0.7832734521849766
Claim cost,Tail MAE P90+ (↓),,89129.6459532761,109896.56448666156,Large-loss focus,1.232996757827042
Aggregate,Pure premium (CHF/exp-month),1132.1101944444445,1310.6177357747772,1129.016613004606,p×mu over exposure,0.8614385279451319
Aggregate,O/E (Actual ÷ Expected),1.0,0.8637989274387415,1.0027400672445426,Ideal ≈ 1,1.1608489376315583
Diagnostics,PP (FFNN incidence × GLM severity),1132.1101944444445,1310.6177357747772,1155.826287740852,Isolate frequency,0.8818942825137189
Diagnostics,PP (GLM incidence × FFNN severity),1132.1101944444445,1310.6177357747772,1260.5247762350464,Isolate severity,0.9617791227965352
